id,trip_duration
id3004672,817.5737971637193
id3505355,1431.5674166173278
id1217141,817.5737971637193
id2150126,817.5737971637193
id1598245,817.5737971637193
id0668992,817.5737971637193
id1765014,817.5737971637193
id0898117,817.5737971637193
id3905224,1746.9710494834148
id1543102,817.5737971637193
id3024712,1431.5674166173278
id3665810,817.5737971637193
id1836461,1091.6744677479
id3457080,817.5737971637193
id3376065,817.5737971637193
id3008739,817.5737971637193
id0902216,817.5737971637193
id3564824,817.5737971637193
id0820280,817.5737971637193
id0775088,1746.9710494834148
id1468488,817.5737971637193
id2657479,817.5737971637193
id1262719,817.5737971637193
id1345524,1431.5674166173278
id2911638,817.5737971637193
id2849512,2130.8738019738485
id0236829,817.5737971637193
id2905906,817.5737971637193
id3737939,817.5737971637193
id0766179,1431.5674166173278
id3422639,817.5737971637193
id3864673,1746.9710494834148
id2052707,817.5737971637193
id0591443,817.5737971637193
id1686925,817.5737971637193
id0429284,817.5737971637193
id1860783,1431.5674166173278
id0928636,817.5737971637193
id3904914,817.5737971637193
id2844603,817.5737971637193
id3400686,817.5737971637193
id1408427,817.5737971637193
id1712395,817.5737971637193
id2475053,817.5737971637193
id3485082,817.5737971637193
id0827714,817.5737971637193
id2765337,817.5737971637193
id3139513,817.5737971637193
id1823365,817.5737971637193
id2690061,817.5737971637193
id2214549,817.5737971637193
id0552977,817.5737971637193
id1556775,817.5737971637193
id0364901,817.5737971637193
id3345419,1431.5674166173278
id0814840,3422.476998050682
id3159174,2130.8738019738485
id3650870,1763.5180913256438
id2576205,817.5737971637193
id3408993,817.5737971637193
id1969762,817.5737971637193
id3043563,817.5737971637193
id0697361,817.5737971637193
id0527242,817.5737971637193
id1890566,817.5737971637193
id0882843,3422.476998050682
id2126329,1431.5674166173278
id3443802,817.5737971637193
id1114580,817.5737971637193
id2529811,817.5737971637193
id1792589,817.5737971637193
id0071844,817.5737971637193
id3468683,817.5737971637193
id2108605,817.5737971637193
id3353510,817.5737971637193
id1707352,1746.9710494834148
id1650458,817.5737971637193
id2175910,1431.5674166173278
id1443779,817.5737971637193
id2459479,1746.9710494834148
id0358410,817.5737971637193
id0582396,817.5737971637193
id2262648,817.5737971637193
id2422279,817.5737971637193
id3993739,817.5737971637193
id2578671,817.5737971637193
id3313356,817.5737971637193
id0526259,817.5737971637193
id2384843,817.5737971637193
id1266405,817.5737971637193
id2043002,817.5737971637193
id1284494,817.5737971637193
id0226404,817.5737971637193
id1170300,1746.9710494834148
id1309256,817.5737971637193
id3645922,817.5737971637193
id1595264,817.5737971637193
id2594446,817.5737971637193
id0777968,817.5737971637193
id0426749,817.5737971637193
id1300331,817.5737971637193
id1220261,817.5737971637193
id2859902,817.5737971637193
id2726399,817.5737971637193
id1653770,817.5737971637193
id2785851,817.5737971637193
id2023315,817.5737971637193
id0603959,817.5737971637193
id0521659,817.5737971637193
id2972142,817.5737971637193
id0127362,817.5737971637193
id0349746,817.5737971637193
id3125801,817.5737971637193
id2552900,817.5737971637193
id3564322,1091.6744677479
id2217703,817.5737971637193
id2125163,817.5737971637193
id1668771,817.5737971637193
id0448827,817.5737971637193
id0684597,817.5737971637193
id2485399,817.5737971637193
id1804505,817.5737971637193
id3202512,817.5737971637193
id3544706,817.5737971637193
id0976070,817.5737971637193
id2451797,817.5737971637193
id0377405,817.5737971637193
id2195452,817.5737971637193
id0876799,817.5737971637193
id3716230,817.5737971637193
id0392392,817.5737971637193
id1615256,817.5737971637193
id1358922,817.5737971637193
id2648035,1746.9710494834148
id2678173,817.5737971637193
id1760464,817.5737971637193
id3723177,817.5737971637193
id2111062,817.5737971637193
id1353681,817.5737971637193
id2604302,817.5737971637193
id1442028,817.5737971637193
id3094517,817.5737971637193
id0130846,817.5737971637193
id1177771,817.5737971637193
id0276992,1431.5674166173278
id3214777,1431.5674166173278
id3613100,817.5737971637193
id3196583,817.5737971637193
id3273243,1746.9710494834148
id0585259,817.5737971637193
id0562890,817.5737971637193
id2584115,817.5737971637193
id2329025,817.5737971637193
id0975674,817.5737971637193
id0139753,817.5737971637193
id0394293,817.5737971637193
id2144237,817.5737971637193
id0495393,817.5737971637193
